True,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,547,1,0,1,0,3,3,1,2,0,0,2,1,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,2
1,0,509,0,1,2,1,6,4,0,1,1,7,2,0,0,0,0,0,1,0,0,20,0,1,2,3,2,1,4
2,0,6,540,1,0,1,7,1,1,0,1,2,2,0,0,0,0,0,2,0,0,1,1,0,0,0,1,1,0
3,0,2,0,551,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,1,1,0,2
4,1,5,0,3,538,0,2,0,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,2,2,5,0,0,2
5,2,2,0,1,0,522,8,3,2,3,1,0,3,0,0,1,0,0,1,0,0,2,0,1,1,4,4,1,6
6,8,2,0,1,1,1,515,0,5,6,2,0,2,0,1,4,2,0,4,0,1,0,1,0,0,1,1,3,7
7,1,2,0,0,0,0,3,488,5,16,14,2,0,4,1,8,0,0,0,1,5,5,0,3,2,1,2,0,5
8,4,5,0,0,1,2,5,2,481,10,26,8,1,0,0,4,0,0,3,1,3,0,0,1,3,2,1,1,4
9,3,0,0,0,0,2,3,14,11,489,15,10,1,1,1,3,0,0,4,0,1,0,2,0,1,2,4,1,0
10,0,1,0,1,0,1,5,7,13,9,491,7,0,0,0,5,2,0,14,0,1,0,0,1,1,3,0,4,2
11,2,7,0,0,0,0,4,1,6,9,5,524,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,5
12,0,1,0,0,0,2,0,3,1,3,0,0,551,1,0,0,0,0,2,0,0,0,0,0,1,0,0,1,2
13,0,0,0,0,0,1,1,3,1,2,0,0,0,555,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1
14,1,1,0,0,0,0,4,1,3,1,1,1,2,0,547,0,0,0,1,0,0,0,0,1,1,1,0,1,1
15,2,1,0,0,0,1,3,3,3,2,5,1,1,0,0,542,0,0,0,0,0,0,1,0,1,0,0,0,2
16,0,0,0,0,0,0,2,2,1,2,1,0,1,0,0,1,552,0,1,0,0,0,0,0,0,1,0,2,2
17,0,1,0,0,0,0,2,2,1,1,0,0,1,0,0,1,0,554,2,0,1,0,0,0,0,0,1,0,1
18,0,3,0,0,0,1,6,2,1,2,6,2,0,0,0,0,0,0,532,0,0,0,0,0,8,3,1,0,1
19,0,1,0,0,0,0,2,2,1,3,0,1,0,0,0,0,0,0,1,556,0,0,0,0,0,1,0,0,0
20,0,0,0,0,0,1,1,6,6,2,0,0,0,0,0,1,0,0,2,0,544,1,1,0,0,0,1,0,2
21,0,6,1,1,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,546,0,0,0,1,1,0,2
22,1,1,0,1,0,0,0,1,1,1,3,0,0,0,0,2,1,0,1,0,0,0,551,1,0,1,0,1,1
23,1,3,0,1,0,8,6,2,4,2,0,0,1,0,0,2,0,0,0,0,0,0,1,529,0,3,3,0,2
24,2,1,0,1,0,5,3,2,0,1,4,1,0,0,0,0,0,0,4,0,0,0,0,2,533,4,2,0,3
25,1,1,0,1,3,1,2,1,1,3,0,0,0,0,0,2,0,0,2,1,0,11,0,1,2,525,2,1,7
26,2,3,0,0,0,4,3,3,1,3,1,0,1,1,1,0,0,0,1,0,0,3,0,1,3,2,534,0,1
27,1,0,0,0,0,3,1,1,0,1,2,2,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,551,0
28,5,4,0,1,2,1,6,2,2,5,0,6,1,4,1,1,0,1,3,0,0,0,0,1,12,6,10,0,494
